filename,Violate MR-1 by 3 colors,Violate MR-1 by 15 colors,Violate MR-2 by 3 colors,Violate MR-2 by 15 colors
ILSVRC2012_val_00000001.JPEG,False,False,True,True
ILSVRC2012_val_00000003.JPEG,False,False,False,False
ILSVRC2012_val_00000004.JPEG,False,False,False,False
ILSVRC2012_val_00000007.JPEG,False,False,False,False
ILSVRC2012_val_00000009.JPEG,False,False,False,False
ILSVRC2012_val_00000010.JPEG,False,False,False,False
ILSVRC2012_val_00000011.JPEG,False,False,False,False
ILSVRC2012_val_00000012.JPEG,False,False,False,False
ILSVRC2012_val_00000013.JPEG,False,False,False,False
ILSVRC2012_val_00000014.JPEG,False,False,False,False
ILSVRC2012_val_00000015.JPEG,False,False,True,True
ILSVRC2012_val_00000016.JPEG,False,False,False,False
ILSVRC2012_val_00000019.JPEG,False,False,False,False
ILSVRC2012_val_00000020.JPEG,False,False,False,False
ILSVRC2012_val_00000021.JPEG,False,False,True,True
ILSVRC2012_val_00000023.JPEG,False,False,False,False
ILSVRC2012_val_00000024.JPEG,False,False,False,False
ILSVRC2012_val_00000025.JPEG,False,False,False,False
ILSVRC2012_val_00000027.JPEG,False,False,False,False
ILSVRC2012_val_00000031.JPEG,True,True,False,False
ILSVRC2012_val_00000032.JPEG,False,False,False,False
ILSVRC2012_val_00000035.JPEG,False,False,False,False
ILSVRC2012_val_00000036.JPEG,False,False,False,False
ILSVRC2012_val_00000038.JPEG,False,False,True,True
ILSVRC2012_val_00000039.JPEG,False,False,False,False
ILSVRC2012_val_00000040.JPEG,False,False,True,True
ILSVRC2012_val_00000042.JPEG,True,True,True,True
ILSVRC2012_val_00000043.JPEG,False,False,False,False
ILSVRC2012_val_00000044.JPEG,False,False,False,False
ILSVRC2012_val_00000045.JPEG,False,False,False,False
ILSVRC2012_val_00000047.JPEG,False,False,False,False
ILSVRC2012_val_00000051.JPEG,False,False,False,True
ILSVRC2012_val_00000052.JPEG,True,True,False,False
ILSVRC2012_val_00000053.JPEG,True,True,False,False
ILSVRC2012_val_00000054.JPEG,False,False,False,False
ILSVRC2012_val_00000056.JPEG,False,False,False,False
ILSVRC2012_val_00000058.JPEG,False,False,False,False
ILSVRC2012_val_00000060.JPEG,False,False,False,False
ILSVRC2012_val_00000061.JPEG,False,False,False,False
ILSVRC2012_val_00000063.JPEG,False,False,False,False
ILSVRC2012_val_00000065.JPEG,False,False,True,True
ILSVRC2012_val_00000066.JPEG,False,False,False,False
ILSVRC2012_val_00000067.JPEG,False,False,False,False
ILSVRC2012_val_00000068.JPEG,False,False,False,False
ILSVRC2012_val_00000069.JPEG,True,True,False,True
ILSVRC2012_val_00000072.JPEG,False,False,False,False
ILSVRC2012_val_00000073.JPEG,False,False,True,True
ILSVRC2012_val_00000074.JPEG,False,False,False,False
ILSVRC2012_val_00000075.JPEG,False,False,False,False
ILSVRC2012_val_00000076.JPEG,False,False,False,False
ILSVRC2012_val_00000077.JPEG,False,False,False,False
ILSVRC2012_val_00000078.JPEG,False,False,False,False
ILSVRC2012_val_00000079.JPEG,False,False,False,False
ILSVRC2012_val_00000080.JPEG,False,False,False,False
ILSVRC2012_val_00000081.JPEG,True,True,True,True
ILSVRC2012_val_00000082.JPEG,False,False,False,False
ILSVRC2012_val_00000083.JPEG,False,False,False,False
ILSVRC2012_val_00000086.JPEG,False,False,False,False
ILSVRC2012_val_00000088.JPEG,False,False,True,True
ILSVRC2012_val_00000089.JPEG,False,False,False,False
ILSVRC2012_val_00000090.JPEG,False,False,False,False
ILSVRC2012_val_00000091.JPEG,False,False,False,False
ILSVRC2012_val_00000092.JPEG,False,False,False,False
ILSVRC2012_val_00000093.JPEG,False,False,False,False
ILSVRC2012_val_00000094.JPEG,False,False,False,False
ILSVRC2012_val_00000095.JPEG,False,False,False,False
ILSVRC2012_val_00000096.JPEG,False,False,False,False
ILSVRC2012_val_00000097.JPEG,False,False,False,False
ILSVRC2012_val_00000098.JPEG,False,False,False,False
ILSVRC2012_val_00000099.JPEG,False,False,False,False
ILSVRC2012_val_00000100.JPEG,False,False,True,True
ILSVRC2012_val_00000101.JPEG,False,False,False,False
ILSVRC2012_val_00000102.JPEG,False,False,False,False
ILSVRC2012_val_00000103.JPEG,False,False,False,False
ILSVRC2012_val_00000104.JPEG,False,False,False,False
ILSVRC2012_val_00000105.JPEG,False,False,False,False
ILSVRC2012_val_00000106.JPEG,False,False,False,False
ILSVRC2012_val_00000107.JPEG,False,False,False,False
ILSVRC2012_val_00000108.JPEG,False,False,False,False
ILSVRC2012_val_00000109.JPEG,True,False,False,False
ILSVRC2012_val_00000111.JPEG,False,False,True,True
ILSVRC2012_val_00000113.JPEG,False,False,False,False
ILSVRC2012_val_00000115.JPEG,False,False,False,False
ILSVRC2012_val_00000116.JPEG,False,False,False,False
ILSVRC2012_val_00000117.JPEG,True,True,True,True
ILSVRC2012_val_00000118.JPEG,False,False,False,False
ILSVRC2012_val_00000120.JPEG,False,False,False,False
ILSVRC2012_val_00000122.JPEG,False,False,False,False
ILSVRC2012_val_00000123.JPEG,False,False,False,False
ILSVRC2012_val_00000125.JPEG,False,False,True,False
ILSVRC2012_val_00000126.JPEG,False,False,True,True
ILSVRC2012_val_00000127.JPEG,False,False,True,True
ILSVRC2012_val_00000129.JPEG,False,False,False,False
ILSVRC2012_val_00000130.JPEG,False,False,False,False
ILSVRC2012_val_00000131.JPEG,False,False,True,True
ILSVRC2012_val_00000132.JPEG,False,False,False,False
ILSVRC2012_val_00000133.JPEG,False,False,False,False
ILSVRC2012_val_00000135.JPEG,False,False,True,True
ILSVRC2012_val_00000138.JPEG,False,False,False,False
ILSVRC2012_val_00000139.JPEG,False,False,False,False
ILSVRC2012_val_00000141.JPEG,False,False,False,False
ILSVRC2012_val_00000142.JPEG,False,False,False,False
ILSVRC2012_val_00000143.JPEG,False,False,False,False
ILSVRC2012_val_00000144.JPEG,True,True,False,False
ILSVRC2012_val_00000145.JPEG,False,False,True,True
ILSVRC2012_val_00000146.JPEG,False,False,True,True
ILSVRC2012_val_00000147.JPEG,False,False,False,False
ILSVRC2012_val_00000148.JPEG,True,True,True,True
ILSVRC2012_val_00000149.JPEG,False,False,False,False
ILSVRC2012_val_00000152.JPEG,False,False,False,False
ILSVRC2012_val_00000153.JPEG,False,False,False,False
ILSVRC2012_val_00000154.JPEG,False,False,True,True
ILSVRC2012_val_00000155.JPEG,False,False,False,False
ILSVRC2012_val_00000157.JPEG,False,False,False,False
ILSVRC2012_val_00000158.JPEG,False,False,False,False
ILSVRC2012_val_00000160.JPEG,False,False,False,False
ILSVRC2012_val_00000163.JPEG,False,False,False,False
ILSVRC2012_val_00000164.JPEG,False,False,False,False
ILSVRC2012_val_00000165.JPEG,False,False,False,False
ILSVRC2012_val_00000166.JPEG,False,False,False,False
ILSVRC2012_val_00000167.JPEG,True,False,False,False
ILSVRC2012_val_00000168.JPEG,False,False,False,False
ILSVRC2012_val_00000169.JPEG,False,False,False,False
ILSVRC2012_val_00000170.JPEG,False,False,False,False
ILSVRC2012_val_00000171.JPEG,False,False,False,False
