models,epochs,accuracy,ratio_MR1, ratio_MR2, ratio_MR12
vgg16,0,9.090%,6.755%,57.316%,6.249%
vgg16,5,45.020%,4.589%,24.247%,3.492%
vgg16,10,49.376%,5.468%,20.289%,3.795%
vgg16,15,52.210%,5.489%,20.502%,3.880%
vgg16,20,52.920%,5.627%,19.890%,3.862%
vgg16,25,53.826%,5.469%,19.767%,3.630%
vgg16,30,62.692%,5.994%,16.544%,3.726%
vgg16,35,66.268%,6.148%,15.302%,3.637%
vgg16,40,67.644%,6.407%,14.505%,3.575%
vgg16,45,68.278%,6.386%,14.558%,3.770%
vgg16,50,68.704%,6.070%,15.143%,3.519%
vgg16,55,69.196%,6.356%,14.585%,3.697%
vgg16,60,71.192%,6.644%,13.479%,3.520%
vgg16,65,71.638%,6.804%,13.596%,3.607%
vgg16,70,71.830%,6.680%,13.504%,3.572%
vgg16,75,72.032%,6.839%,13.436%,3.629%
vgg16,80,72.018%,6.876%,13.569%,3.602%
vgg16,85,72.078%,6.704%,13.519%,3.574%
vgg16,90,72.428%,6.782%,13.346%,3.595%
vgg16,95,72.540%,6.791%,13.502%,3.554%
vgg16,100,72.486%,6.865%,13.539%,3.609%
vgg16,105,72.470%,6.817%,13.404%,3.563%
resnet50,0,16.238%,5.259%,44.008%,4.717%
resnet50,5,36.130%,4.307%,27.739%,3.554%
resnet50,10,38.470%,5.563%,24.669%,4.383%
resnet50,15,29.454%,3.932%,29.157%,3.314%
resnet50,20,38.476%,4.938%,27.529%,3.836%
resnet50,25,37.928%,4.588%,27.631%,3.712%
resnet50,30,61.288%,5.642%,17.038%,3.710%
resnet50,35,61.468%,4.946%,17.459%,3.390%
resnet50,40,62.402%,5.461%,16.525%,3.561%
resnet50,45,63.194%,5.671%,16.714%,3.532%
resnet50,50,63.012%,5.459%,16.816%,3.549%
resnet50,55,63.384%,5.661%,16.386%,3.685%
resnet50,60,71.692%,6.726%,13.117%,3.627%
resnet50,65,73.204%,6.901%,12.917%,3.645%
resnet50,70,73.404%,6.888%,12.517%,3.515%
resnet50,75,73.622%,7.207%,12.534%,3.716%
resnet50,80,73.534%,7.248%,12.568%,3.642%
resnet50,85,73.464%,6.931%,12.820%,3.738%
resnet50,90,75.054%,7.315%,11.752%,3.595%
resnet50,95,75.600%,7.429%,12.111%,3.614%
resnet50,100,75.708%,7.267%,11.703%,3.574%
resnet50,105,75.876%,7.502%,11.854%,3.669%
