xception,MR-1,31.613%,19.470%,15.056%,11.116%,9.287%,7.651%,5.344%,5.338%,4.127%,2.986%,2.489%,2.070%,1.001%,0.925%,0.953%,0.500%,0.397%,0.435%,0.056%,0.062%,0.000%
xception,MR-2,50.246%,33.637%,21.957%,14.688%,9.022%,8.527%,5.834%,4.591%,4.091%,3.787%,2.886%,2.884%,2.464%,1.970%,1.690%,1.319%,1.042%,0.762%,0.725%,0.625%,0.940%
xception,MR-12,27.925%,11.889%,6.524%,3.374%,2.039%,1.332%,0.640%,0.448%,0.292%,0.328%,0.216%,0.148%,0.116%,0.080%,0.000%,0.000%,0.000%,0.054%,0.000%,0.000%,0.000%
vgg16,MR-1,27.679%,17.357%,13.425%,10.520%,7.626%,5.786%,4.629%,3.845%,2.703%,1.784%,1.659%,1.035%,0.424%,0.483%,0.260%,0.136%,0.298%,0.054%,0.056%,0.000%,0.000%
vgg16,MR-2,43.265%,37.407%,28.942%,22.985%,16.874%,13.361%,10.764%,9.332%,6.720%,6.737%,5.411%,4.473%,3.543%,3.619%,3.336%,1.501%,1.439%,1.034%,0.670%,0.312%,0.403%
vgg16,MR-12,26.401%,13.670%,8.281%,4.843%,2.416%,1.332%,0.828%,0.896%,0.402%,0.182%,0.325%,0.148%,0.000%,0.040%,0.000%,0.000%,0.050%,0.000%,0.000%,0.000%,0.000%
vgg19,MR-1,28.073%,16.819%,12.338%,9.448%,7.626%,5.862%,3.613%,3.583%,2.374%,1.894%,1.659%,0.739%,0.462%,0.322%,0.217%,0.136%,0.199%,0.000%,0.000%,0.000%,0.000%
vgg19,MR-2,44.641%,38.525%,29.695%,23.144%,18.158%,14.237%,11.253%,10.302%,7.852%,6.664%,5.123%,4.214%,3.928%,3.498%,3.640%,1.911%,1.588%,1.470%,0.725%,0.562%,0.761%
vgg19,MR-12,26.991%,13.753%,7.905%,4.962%,2.567%,1.408%,0.828%,0.933%,0.511%,0.364%,0.289%,0.111%,0.000%,0.080%,0.087%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
resnet50,MR-1,30.629%,19.801%,15.224%,11.830%,8.456%,6.281%,4.554%,3.770%,2.666%,2.003%,1.407%,0.961%,0.347%,0.322%,0.087%,0.136%,0.050%,0.054%,0.056%,0.000%,0.000%
